"File","correct_letter","literal_letter","literal_source_column","humor_style","humor_style_secondary","contextual_knowledge","contextual_knowledge_secondary","correct_answer_char_len","data_quality_flags","sheet_row"
"1cpvjc7","C","A","Exp3","Sarcasm/Irony","Situational","Technical","Logical","245","","41"
"1bur7j0","B","C","Exp2","Situational","Dark Humor","Pop culture","Hobby","343","","42"
"1co83ht","C","D","Exp3","Incongruity","Exaggeration","Social conventions","General knowledge","174","","43"
"1cwrltm","C","D","Exp3","Dark Humor","Incongruity","Pop culture","General knowledge","421","","44"
"1cym2ue","A","C","Exp3","Exaggeration","Situational","Pop culture","General knowledge","388","","45"
"1d2jxbw","C","B","Exp3","Incongruity","Sarcasm/Irony","General knowledge","Social conventions","100","","46"
"1d6ho4f","B","C","Exp2","Incongruity","Exaggeration","General knowledge","Logical","82","","47"
"1d8sg9b","D","C","Exp2","Exaggeration","Situational","Logical","Social conventions","84","","48"
"1d98tf9","D","C","Exp1","Dark Humor","Sarcasm/Irony","politics","General knowledge","211","","49"
"1dbipgs","D","C","Exp1","Exaggeration","Surprise","Logical","General knowledge","935","","50"
"1dfrh37","D","B","Exp1","Incongruity","Exaggeration","Hobby","General knowledge","60","","51"
"1di1z94","A","C","Exp3","Exaggeration","Situational","Social conventions","politics","259","","52"
"1dk6kds","B","D","Exp3","Dark Humor","Incongruity","Pop culture","Logical","247","","53"
"1dlzvsx","D","A","Exp3","Comparison","Surprise","Logical","General knowledge","76","","54"
"1do7yvv","C","D","Exp1","Incongruity","Sarcasm/Irony","Logical","Social conventions","148","","55"
"1dr9jg6","A","B","Exp2","Situational","Comparison","Pop culture","Hobby","183","","56"
"1dtmedg","A","C","Exp2","Situational","Exaggeration","Social conventions","Technical","153","","57"
"1dwa7tj","D","C","Exp1","Dark Humor","Incongruity","History/Mythology","General knowledge","149","","58"
"1e0k66e","B","C","Exp1","Wordplay","Situational","Technical","Hobby","443","","59"
"1e2qvt9","C","B","Exp1","Exaggeration","Comparison","Social conventions","Pop culture","261","","60"
"1e6m88u","B","A","Exp1","Comparison","Sarcasm/Irony","Pop culture","Hobby","514","","61"
"1ea5yhw","A","D","Exp1","Exaggeration","Sarcasm/Irony","politics","Pop culture","230","","62"
"1eeayas","B","A","Exp1","Sarcasm/Irony","Exaggeration","History/Mythology","Logical","197","","63"
"1efs65o","B","D","Exp1","Comparison","Situational","Hobby","politics","117","","64"
"1eko6xo","C","B","Exp1","Comparison","Exaggeration","Pop culture","General knowledge","94","","65"
"1elhse8","B","D","Exp3","Exaggeration","Comparison","Logical","History/Mythology","208","","66"
"1eq297i","B","C","Exp3","Exaggeration","Comparison","politics","General knowledge","321","","67"
"1et8l0q","C","B","Exp3","Incongruity","Situational","Logical","General knowledge","110","","68"
"1ex1lej","D","C","Exp3","Exaggeration","Sarcasm/Irony","General knowledge","Logical","64","","69"
"1f0qs2a","B","D","Exp3","Incongruity","Situational","General knowledge","History/Mythology","295","","70"
"1f4tmhz","D","C","Exp3","Sarcasm/Irony","Incongruity","Logical","General knowledge","204","","71"
"1f16w9p","C","D","Exp3","Situational","Sarcasm/Irony","General knowledge","Pop culture","76","","72"
"1fa202w","C","D","Exp3","Exaggeration","Sarcasm/Irony","Hobby","Pop culture","51","","73"
"1fbym0h","D","B","Exp3","Comparison","Exaggeration","Social conventions","Logical","101","","74"
"1fdg0i5","D","A","Exp3","Dark Humor","Incongruity","politics","History/Mythology","297","","75"
"1fg38dp","B","A","Exp3","Exaggeration","Comparison","Logical","General knowledge","38","","76"
"1fm0tjo","C","D","Exp3","Exaggeration","Situational","Logical","Social conventions","58","","77"
"1fs6ndo","B","D","Exp3","Comparison","Dark Humor","Hobby","Logical","101","","78"
"1fo91u1","D","B","Exp3","Situational","Sarcasm/Irony","Logical","Social conventions","566","","79"
"1fst6nb","B","C","Exp3","Comparison","Sarcasm/Irony","politics","Logical","155","","80"
"1fu3pp1","C","B","Exp3","Incongruity","Situational","Technical","Hobby","67","","81"
"1fuxrbx","A","C","Exp3","Wordplay","Surprise","Hobby","Pop culture","333","","82"
"1fwbzz9","A","C","Exp3","Situational","Sarcasm/Irony","politics","General knowledge","639","","83"
"1fxqzyt","B","D","Exp3","Wordplay","Sarcasm/Irony","Social conventions","General knowledge","172","","84"
"1g02nzf","D","B","Exp3","Situational","Comparison","History/Mythology","Social conventions","417","","85"
"1g7yhzc","A","C","Exp1","Exaggeration","Sarcasm/Irony","Social conventions","Pop culture","857","","86"
"1g4657e","B","C","Exp3","Incongruity","Exaggeration","History/Mythology","General knowledge","172","","87"
"1gazv8u","B","D","Exp3","Dark Humor","Incongruity","politics","General knowledge","26","","88"
"1gidb47","B","D","Exp3","Situational","Sarcasm/Irony","Technical","General knowledge","125","","89"
"1gop1dk","D","B","Exp3","Exaggeration","Situational","Social conventions","General knowledge","136","","90"
"1gqh1c5","D","C","Exp3","Situational","Exaggeration","Social conventions","General knowledge","372","","91"
"1gs87cm","C","D","Exp3","Situational","Sarcasm/Irony","Pop culture","Social conventions","155","","92"
"1guacve","A","B","Exp3","Exaggeration","Situational","Social conventions","Logical","253","","93"
"1gx0pu0","D","A","Exp1","Comparison","Sarcasm/Irony","Hobby","Pop culture","254","","94"
"1gz2i0o","C","D","Exp3","Exaggeration","Situational","History/Mythology","General knowledge","160","","95"
"1gzkbbi","D","C","Exp1","Comparison","Sarcasm/Irony","politics","Hobby","249","","96"
"1h5a44z","A","D","Exp2","Comparison","Situational","Pop culture","Hobby","1698","","97"
"1h7di4x","C","D","Exp3","Wordplay","Dark Humor","Logical","Hobby","56","","98"
"1h8d39n","A","D","Exp3","Comparison","Dark Humor","Hobby","Pop culture","1068","","99"
"1h52vkf","A","D","Exp3","Comparison","Situational","General knowledge","Technical","287","","100"
"1hfggtz","B","A","Exp2","Comparison","Situational","Technical","General knowledge","15","","101"
"1hmbnol","D","B","Exp2","Comparison","Situational","Technical","Hobby","287","","102"
"1hqtnop","A","C","Exp1","Wordplay","Dark Humor","politics","Social conventions","215","","103"
"1huqauz","B","A","Exp2","Incongruity","Comparison","Hobby","General knowledge","221","","104"
"1i5ve1j","C","B","Exp3","Comparison","Dark Humor","History/Mythology","Pop culture","135","","105"
"1iad0kh","B","D","Exp1","Exaggeration","Sarcasm/Irony","Technical","General knowledge","154","","106"
"1ibz4bh","D","A","Exp1","Incongruity","Sarcasm/Irony","Technical","Hobby","268","","107"
"1ig7lnf","D","C","Exp3","Incongruity","Sarcasm/Irony","meme","Pop culture","19","","108"
"1inxmb2","A","C","Exp2","Comparison","Sarcasm/Irony","meme","Logical","56","","109"
"1iri57s","C","A","Exp3","Surprise","Situational","Social conventions","Logical","114","","110"
"1iv0i8s","B","D","Exp1","Situational","Surprise","Logical","General knowledge","93","","111"
"1h626bt","C","A","Exp1","Wordplay","Comparison","Hobby","Pop culture","108","","112"
"1hcpvbz","A","B","Exp2","Situational","Comparison","Pop culture","Hobby","239","","113"
"1izj4eu","D","A","Exp3","Incongruity","Dark Humor","politics","General knowledge","475","","114"
"1j983b2","A","D","Exp3","Comparison","Dark Humor","Social conventions","General knowledge","112","","115"
"1jaysny","D","A","Exp3","Incongruity","Comparison","Hobby","Pop culture","244","","116"
"1jh5toe","D","A","Exp3","Exaggeration","Sarcasm/Irony","Social conventions","General knowledge","123","","117"
"1jjiqlq","A","C","Exp3","Sarcasm/Irony","Exaggeration","Social conventions","Logical","68","","118"
"1k25b9s","A","D","Exp2","Comparison","Incongruity","History/Mythology","General knowledge","396","","119"
"1kgak2u","C","D","Exp3","Comparison","Surprise","Technical","General knowledge","79","","120"
"1mbnnpw","B","D","Exp1","Surprise","Dark Humor","General knowledge","Logical","31","","121"
"17pg0fe","D","B","Exp2","Exaggeration","Sarcasm/Irony","Pop culture","Hobby","40","","122"
"1l8vajl","C","B","Exp1","Comparison","Incongruity","Hobby","General knowledge","243","","123"
"1c38j1b","D","A","Exp2","Comparison","Incongruity","Logical","General knowledge","545","","124"
"1bdho8z","B","C","Exp3","Exaggeration","Dark Humor","Social conventions","Logical","120","","125"
"1naurrn","D","B","Exp2","Comparison","Incongruity","Technical","General knowledge","42","literal_paraphrased","126"
"1mfr9vy","B","C","Exp1","Situational","Sarcasm/Irony","Social conventions","General knowledge","356","","127"
"1m241pn","B","D","Exp3","Dark Humor","Situational","Social conventions","Logical","335","","128"
"1m9u48i","D","B","Exp3","Incongruity","Sarcasm/Irony","Hobby","Logical","138","","129"
"1m7b5bx","B","A","Exp3","Surprise","Sarcasm/Irony","politics","General knowledge","52","","130"
"1lttuji","D","A","Exp2","Incongruity","Surprise","Pop culture","Social conventions","170","","131"
"1ljrgbw","D","A","Exp1","Surprise","Exaggeration","Social conventions","Pop culture","640","","132"
"1k6ds0q","C","B","Exp3","Sarcasm/Irony","Situational","Social conventions","General knowledge","59","","133"
"1bk0w4q","C","A","Exp1","Surprise","Dark Humor","politics","Social conventions","99","","134"
"1heeibu","A","D","Exp3","Incongruity","Situational","meme","Social conventions","282","","135"
"1fvpb5q","D","B","Exp3","Dark Humor","Situational","politics","Social conventions","370","","136"
"184f4hh","C","B","Exp2","Comparison","Exaggeration","Hobby","Pop culture","712","","137"
"1mzfdhh","C","A","Exp3","Situational","Exaggeration","Hobby","General knowledge","728","","138"
"1l1hxof","D","C","Exp3","Incongruity","Surprise","Social conventions","Logical","253","","139"
"1kjg3vh","B","C","Exp2","Dark Humor","Sarcasm/Irony","Logical","Social conventions","153","","140"
"1k4lzxj","C","B","Exp3","Sarcasm/Irony","Exaggeration","politics","Pop culture","75","","141"
"1j0w1z3","B","A","Exp3","Comparison","Sarcasm/Irony","meme","Pop culture","31","","142"
"1irxw6j","D","B","Exp2","Dark Humor","Situational","History/Mythology","politics","133","","143"
"1ird7yb","C","A","Exp1","Exaggeration","Dark Humor","Hobby","Social conventions","163","","144"
"169oqq5","D","B","Exp1","Wordplay","Comparison","General knowledge","History/Mythology","86","","145"
"1co29mb","D","C","Exp3","Wordplay","Comparison","Pop culture","Hobby","51","","146"
"19eokbq","C","A","Exp3","Situational","Dark Humor","General knowledge","politics","300","","147"
"1c3z5ld","C","D","Exp3","Situational","Incongruity","Hobby","Pop culture","236","","148"
"1dxonad","B","C","Exp2","Wordplay","Dark Humor","General knowledge","Technical","162","","149"
"1cbcpxn","D","C","Exp3","Situational","Comparison","Hobby","General knowledge","201","","150"
"194s3gh","A","C","Exp3","Exaggeration","Situational","meme","Pop culture","105","","151"
"1ipozgr","D","B","Exp2","Situational","Exaggeration","General knowledge","Social conventions","108","","152"
"1n7s8ht","D","A","Exp3","Exaggeration","Comparison","History/Mythology","politics","83","","153"
"1bvyaep","A","C","Exp3","Surprise","Sarcasm/Irony","History/Mythology","General knowledge","217","","154"
"1587f2g","A","D","Exp2","Exaggeration","Comparison","Technical","Social conventions","447","","155"
"177cl97","D","A","Exp3","Situational","Exaggeration","Technical","Pop culture","259","","156"
"1jhyaz4","C","B","Exp3","Exaggeration","Situational","General knowledge","Social conventions","66","","157"
"1fssuxj","A","C","Exp3","Wordplay","Sarcasm/Irony","Logical","General knowledge","74","literal_paraphrased","158"
"1fwc8sk","B","A","Exp3","Situational","Dark Humor","Pop culture","Hobby","295","","159"
"195f4ld","A","C","Exp2","Surprise","Comparison","meme","Pop culture","694","","160"
"1key5qt","B","C","Exp3","Incongruity","Situational","Pop culture","Hobby","406","","161"
"1jzigfy","D","C","Exp2","Sarcasm/Irony","Exaggeration","General knowledge","Logical","126","","162"
"192wp5d","C","D","Exp3","Incongruity","Situational","Social conventions","Logical","49","","163"
"1hql3cv","D","A","Exp2","Wordplay","Exaggeration","General knowledge","Social conventions","20","","164"
"1mluk7a","A","B","Exp2","Dark Humor","Comparison","History/Mythology","politics","220","","165"
"1mpg380","B","A","Exp1","Situational","Surprise","Hobby","Technical","452","","166"
"1eexgq9","C","D","Exp3","Dark Humor","Exaggeration","History/Mythology","politics","282","","167"
"1cs870m","B","A","Exp3","Wordplay","Dark Humor","General knowledge","Social conventions","52","","168"
"1g1cv45","B","unknown","","Comparison","Sarcasm/Irony","meme","Social conventions","143","duplicate_options;literal_equals_correct","169"
"1g2ofgo","A","D","Exp3","Situational","Sarcasm/Irony","History/Mythology","Logical","153","","170"
"1jzu8un","C","B","Exp1","Surprise","Sarcasm/Irony","Technical","General knowledge","214","","171"
"1gvvhs3","A","B","Exp3","Wordplay","Surprise","Social conventions","Pop culture","25","","172"
"1l22d3q","C","B","Exp2","Sarcasm/Irony","Comparison","Pop culture","Hobby","247","","173"
"1j289je","D","C","Exp3","Incongruity","Wordplay","General knowledge","Logical","53","","174"
"1ga3uxo","A","D","Exp3","Surprise","Situational","Technical","Pop culture","138","","175"
"1l99mtp","A","D","Exp3","Situational","Incongruity","Technical","General knowledge","46","","176"
"1hjwowy","D","C","Exp2","Exaggeration","Comparison","Social conventions","General knowledge","75","","177"
"1ii3g3t","D","A","Exp3","Dark Humor","Situational","History/Mythology","General knowledge","403","","178"
"1h7ih54","B","A","Exp2","Comparison","Surprise","Pop culture","General knowledge","154","","179"
"1eglfe7","A","B","Exp3","Surprise","Situational","Technical","General knowledge","250","","180"
"1jdq5gi","C","unknown","","Wordplay","Comparison","Social conventions","General knowledge","342","literal_no_match","181"
"1jykoxc","B","D","Exp1","Wordplay","Exaggeration","General knowledge","meme","250","","182"
"1il72ww","B","C","Exp3","Sarcasm/Irony","Situational","Social conventions","General knowledge","394","","183"
"1g3admg","B","A","Exp2","Situational","Surprise","meme","History/Mythology","47","","184"
"1kpj6mq","A","B","Exp3","Comparison","Situational","Pop culture","General knowledge","19","","185"
"1gp140e","D","A","Exp3","Surprise","Situational","meme","Pop culture","31","","186"
"1it3ezt","A","D","Exp1","Wordplay","Incongruity","Technical","Logical","155","","187"
"1ceuuuh","A","C","Exp3","Sarcasm/Irony","Situational","politics","Logical","50","","188"
"1bk5jkq","C","D","Exp3","Surprise","Situational","Technical","Hobby","126","","189"
"1az5r39","D","C","Exp2","Comparison","Exaggeration","politics","General knowledge","35","","190"
"1hauo6q","A","B","Exp1","Dark Humor","Exaggeration","politics","Pop culture","91","","191"
"1jtym4e","A","D","Exp1","Dark Humor","Exaggeration","politics","Social conventions","146","","192"
"1l4x3e6","B","C","Exp2","Surprise","Exaggeration","politics","Logical","153","","193"
"1mahcad","B","C","Exp3","Wordplay","Situational","General knowledge","meme","76","","194"
"1j0n4gg","D","C","Exp2","Surprise","Sarcasm/Irony","politics","meme","162","","195"
"1hbogj4","D","A","Exp3","Dark Humor","Sarcasm/Irony","politics","Pop culture","371","","196"
"1flb4nk","D","A","Exp1","Surprise","Exaggeration","History/Mythology","Logical","292","","197"
"1dhf9h2","A","B","Exp2","Surprise","Comparison","politics","Social conventions","119","","198"
"1c01lei","B","A","Exp3","Dark Humor","Exaggeration","politics","Logical","54","","199"
"1d7u657","B","D","Exp1","Sarcasm/Irony","Comparison","politics","Hobby","139","","200"
"1dv83hh","C","A","Exp2","Dark Humor","Situational","politics","Social conventions","228","","201"
"1cdufsh","C","A","Exp3","Sarcasm/Irony","Comparison","politics","Hobby","510","","202"
"13ibrc1","A","C","Exp1","Comparison","Sarcasm/Irony","Logical","politics","1199","","203"
"1m56k4v","B","D","Exp1","Surprise","Incongruity","Technical","General knowledge","252","","204"
"1mbrsfx","C","B","Exp1","Surprise","Sarcasm/Irony","meme","Social conventions","151","","205"
"1lnme9d","D","C","Exp2","Surprise","Incongruity","History/Mythology","Social conventions","226","","206"
"1lhnwl4","A","B","Exp2","Incongruity","Surprise","politics","Logical","221","","207"
"1lcutci","A","B","Exp3","Comparison","Exaggeration","politics","Logical","126","","208"
"1lmltqs","A","C","Exp2","Surprise","Incongruity","meme","Logical","166","","209"
"1lgqywl","A","C","Exp3","Dark Humor","Situational","History/Mythology","Technical","164","","210"
"1l8fck5","C","A","Exp3","Surprise","Sarcasm/Irony","Logical","General knowledge","37","","211"
"1if88s3","C","D","Exp2","Wordplay","Situational","Technical","Social conventions","24","","212"
"1jpn69p","D","A","Exp3","Comparison","Exaggeration","Technical","Pop culture","276","","213"
"1fs7uqa","C","D","Exp3","Surprise","Exaggeration","politics","Social conventions","502","","214"
"1k6qo63","C","B","Exp3","Comparison","Exaggeration","Technical","Hobby","272","","215"
"1ku0frm","D","B","Exp2","Wordplay","Surprise","Logical","General knowledge","30","","216"
"1mj26iu","D","C","Exp3","Wordplay","Situational","Logical","General knowledge","49","","217"
"1agsl73","D","A","Exp3","Wordplay","Surprise","History/Mythology","Logical","49","","218"
"1cqzlzh","C","A","Exp3","Sarcasm/Irony","Comparison","History/Mythology","Technical","304","","219"
"1m55hez","A","C","Exp3","Dark Humor","Exaggeration","Logical","Social conventions","29","","220"
"1arjiwr","C","D","Exp3","Comparison","Sarcasm/Irony","politics","General knowledge","226","","221"
"1jny20o","D","B","Exp2","Sarcasm/Irony","Comparison","Logical","politics","366","","222"
"1josjz1","C","D","Exp3","Wordplay","Exaggeration","politics","Logical","238","","223"
"1m83zvy","B","D","Exp3","Comparison","Situational","Hobby","Technical","206","","224"
"1m3s0a4","C","B","Exp3","Sarcasm/Irony","Exaggeration","History/Mythology","Social conventions","450","","225"
"15vbd1p","D","C","Exp3","Dark Humor","Incongruity","Logical","Social conventions","186","","226"
"1mhtv4z","C","B","Exp2","Dark Humor","Incongruity","Hobby","Pop culture","289","","227"
"1mkomql","B","A","Exp3","Sarcasm/Irony","Comparison","meme","Pop culture","84","","228"
"1narr2o","B","C","Exp3","Sarcasm/Irony","Situational","Logical","Social conventions","805","","229"
"1n0my5r","A","C","Exp3","Surprise","Incongruity","Hobby","Logical","171","","230"
"1k5a33w","B","A","Exp3","Sarcasm/Irony","Comparison","meme","Pop culture","222","","231"
"1k5wejp","B","C","Exp2","Surprise","Exaggeration","Hobby","Pop culture","347","","232"
"1k4ukvi","D","B","Exp3","Sarcasm/Irony","Incongruity","General knowledge","Social conventions","227","","233"
"1kehvhj","A","C","Exp3","Exaggeration","Situational","History/Mythology","General knowledge","491","","234"
"1keqvzx","D","B","Exp3","Dark Humor","Comparison","Logical","meme","127","","235"
"1kpfg74","C","D","Exp3","Sarcasm/Irony","Comparison","History/Mythology","General knowledge","114","","236"
"1kidi8e","B","A","Exp3","Sarcasm/Irony","Situational","Technical","Pop culture","331","","237"
"1kjlggg","B","C","Exp3","Dark Humor","Comparison","politics","Social conventions","241","","238"
"1kqcllz","B","D","Exp2","Sarcasm/Irony","Comparison","Logical","General knowledge","128","","239"
"1jwjneb","C","D","Exp2","Comparison","Situational","Hobby","Technical","463","","240"
"1kpua4s","C","D","Exp3","Surprise","Comparison","Hobby","Logical","242","","241"
"1l7z6gs","C","B","Exp1","Sarcasm/Irony","Exaggeration","Social conventions","Logical","77","","242"
"1asecwa","C","D","Exp3","Dark Humor","Situational","Technical","Logical","137","","243"
"1i38yhn","B","A","Exp3","Situational","Comparison","Hobby","Pop culture","175","","244"
"1bpefe3","C","D","Exp3","Wordplay","Situational","Logical","General knowledge","49","","245"
"1esw67r","A","C","Exp1","Wordplay","Dark Humor","Logical","Social conventions","79","","246"
"1fkmtz4","B","A","Exp1","Dark Humor","Sarcasm/Irony","Technical","General knowledge","356","","247"
"1c43fea","B","A","Exp1","Dark Humor","Incongruity","Hobby","politics","122","","248"
"1czson4","C","B","Exp2","Sarcasm/Irony","Comparison","Technical","Logical","1025","","249"
"1dcyo13","D","C","Exp2","Dark Humor","Comparison","politics","History/Mythology","330","","250"
"1fvuj7k","A","C","Exp3","Exaggeration","Comparison","Hobby","Logical","192","","251"
"1gtbssx","C","B","Exp3","Dark Humor","Situational","Hobby","Social conventions","424","","252"
"1htm33y","C","B","Exp3","Wordplay","Incongruity","Logical","Pop culture","163","","253"
"1hw0vwf","A","C","Exp3","Wordplay","Dark Humor","Logical","General knowledge","36","","254"
"1kw5fto","B","D","Exp3","Surprise","Situational","politics","History/Mythology","222","","255"
"1k9xaf4","A","D","Exp3","Sarcasm/Irony","Comparison","politics","Logical","47","","256"
"1jmn6xg","A","C","Exp3","Sarcasm/Irony","Comparison","politics","Pop culture","353","","257"
"1j5j7q8","B","D","Exp3","Sarcasm/Irony","Comparison","politics","History/Mythology","49","","258"
"1itzxo7","D","A","Exp3","Sarcasm/Irony","Dark Humor","History/Mythology","Logical","303","","259"
"1ibyirm","D","A","Exp3","Sarcasm/Irony","Comparison","politics","General knowledge","94","","260"
"1ijlh5e","D","B","Exp3","Situational","Sarcasm/Irony","politics","Pop culture","83","","261"
"1ih9bat","D","A","Exp3","Sarcasm/Irony","Situational","Logical","Social conventions","109","","262"
"1j1lc01","C","B","Exp3","Surprise","Situational","Hobby","Logical","65","","263"
"1j9svdf","C","D","Exp3","Dark Humor","Situational","History/Mythology","General knowledge","54","","264"
"1jwvcno","C","B","Exp3","Dark Humor","Comparison","History/Mythology","Social conventions","323","","265"
"1kxar4d","B","C","Exp3","Dark Humor","Sarcasm/Irony","politics","Social conventions","383","","266"
"1m0b8uv","C","D","Exp3","Incongruity","Comparison","politics","Pop culture","191","","267"
"19994ey","C","D","Exp3","Exaggeration","Dark Humor","politics","General knowledge","182","","268"
"18dba0l","D","C","Exp3","Wordplay","Situational","Hobby","Logical","138","","269"
"1lppcyj","B","A","Exp3","Situational","Surprise","General knowledge","Social conventions","212","","270"
"1h066h6","D","C","Exp1","Situational","Dark Humor","Technical","Logical","155","","271"
"1kjzy1y","A","C","Exp1","Wordplay","Surprise","General knowledge","Logical","144","","272"
"1c341d5","C","A","Exp3","Exaggeration","Surprise","General knowledge","Logical","26","","273"
"17930bw","A","B","Exp3","Wordplay","Situational","General knowledge","meme","162","","274"
"1lfe3gp","C","D","Exp3","Exaggeration","Comparison","politics","meme","114","","275"
"19dbf08","A","D","Exp2","Sarcasm/Irony","Comparison","History/Mythology","General knowledge","1323","","276"
"1ly2yui","C","B","Exp2","Incongruity","Situational","Technical","Logical","28","","277"
"1bnyn39","A","C","Exp2","Sarcasm/Irony","Comparison","Pop culture","Social conventions","370","","278"
"1jczpuc","D","C","Exp1","Sarcasm/Irony","Comparison","Hobby","meme","587","","279"
"1hy2gti","A","B","Exp2","Situational","Comparison","Hobby","General knowledge","346","","280"
"1h53lb4","D","A","Exp1","Dark Humor","Situational","meme","Technical","246","","281"
"1joifiq","D","B","Exp3","Surprise","Situational","Technical","General knowledge","214","","282"
"1iad95m","D","A","Exp1","Exaggeration","Comparison","Pop culture","Pop culture","116","","283"
"1aekqdo","B","A","Exp2","Sarcasm/Irony","Comparison","History/Mythology","politics","582","","284"
"1n2ae1w","D","C","Exp3","Exaggeration","Situational","politics","Technical","802","","285"
"198awkk","A","B","Exp2","Wordplay","Sarcasm/Irony","General knowledge","Logical","373","","286"
"1l5rutv","A","C","Exp1","Surprise","Comparison","Social conventions","General knowledge","121","","287"
"1b2nrx4","C","A","Exp2","Exaggeration","Exaggeration","Social conventions","Social conventions","309","","288"
"1kfy8l5","D","A","Exp1","Incongruity","Surprise","politics","Hobby","1027","","289"
"1kvenyk","A","C","Exp1","Sarcasm/Irony","Exaggeration","History/Mythology","Social conventions","421","","290"
"1j6onpg","B","A","Exp2","Incongruity","Sarcasm/Irony","Social conventions","General knowledge","98","","291"
"1j3kbpk","B","A","Exp1","Dark Humor","Situational","General knowledge","Technical","87","","292"
"180j85r","C","D","Exp1","Dark Humor","Sarcasm/Irony","Technical","Social conventions","149","","293"
"1c8be16","B","D","Exp1","Surprise","Dark Humor","History/Mythology","politics","755","","294"
"14ys2z4","D","B","Exp1","Situational","Situational","politics","Logical","286","","295"
"1kbjn4z","B","D","Exp1","Dark Humor","Comparison","Pop culture","General knowledge","84","","296"
"1jjo04h","C","D","Exp3","Incongruity","Sarcasm/Irony","meme","Pop culture","110","","297"
"1lofpc4","D","B","Exp2","Incongruity","Situational","meme","Pop culture","183","","298"
"1cj9j9z","C","B","Exp2","Sarcasm/Irony","Situational","History/Mythology","Hobby","697","","299"
