File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1blxcsy,anthropic/claude-opus-4-6,D,D,C,D,literal,Situational,Pop culture
1cskltc,anthropic/claude-opus-4-6,A,A,A,D,correct,Wordplay,Pop culture
1kqwlgj,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,Technical
15yqaf6,anthropic/claude-opus-4-6,A,A,A,C,correct,Incongruity,Technical
1fycaf4,anthropic/claude-opus-4-6,B,B,B,D,correct,Situational,Logical
1cpvjc7,anthropic/claude-opus-4-6,C,C,C,A,correct,Sarcasm/Irony,Technical
1bur7j0,anthropic/claude-opus-4-6,B,B,B,C,correct,Situational,Pop culture
1co83ht,anthropic/claude-opus-4-6,C,C,C,D,correct,Incongruity,Social conventions
1cwrltm,anthropic/claude-opus-4-6,C,C,C,D,correct,Dark Humor,Pop culture
1cym2ue,anthropic/claude-opus-4-6,D,D,A,C,other_distractor,Exaggeration,Pop culture
1d2jxbw,anthropic/claude-opus-4-6,C,C,C,B,correct,Incongruity,General knowledge
1d6ho4f,anthropic/claude-opus-4-6,B,B,B,C,correct,Incongruity,General knowledge
1d8sg9b,anthropic/claude-opus-4-6,D,D,D,C,correct,Exaggeration,Logical
1d98tf9,anthropic/claude-opus-4-6,D,D,D,C,correct,Dark Humor,politics
1dbipgs,anthropic/claude-opus-4-6,D,D,D,C,correct,Exaggeration,Logical
1dfrh37,anthropic/claude-opus-4-6,D,D,D,B,correct,Incongruity,Hobby
1di1z94,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,Social conventions
1dk6kds,anthropic/claude-opus-4-6,B,B,B,D,correct,Dark Humor,Pop culture
1dlzvsx,anthropic/claude-opus-4-6,C,C,D,A,other_distractor,Comparison,Logical
1do7yvv,anthropic/claude-opus-4-6,C,C,C,D,correct,Incongruity,Logical
1dr9jg6,anthropic/claude-opus-4-6,A,A,A,B,correct,Situational,Pop culture
1dtmedg,anthropic/claude-opus-4-6,A,A,A,C,correct,Situational,Social conventions
1dwa7tj,anthropic/claude-opus-4-6,D,D,D,C,correct,Dark Humor,History/Mythology
1e0k66e,anthropic/claude-opus-4-6,B,B,B,C,correct,Wordplay,Technical
1e2qvt9,anthropic/claude-opus-4-6,C,C,C,B,correct,Exaggeration,Social conventions
1e6m88u,anthropic/claude-opus-4-6,B,B,B,A,correct,Comparison,Pop culture
1ea5yhw,anthropic/claude-opus-4-6,A,A,A,D,correct,Exaggeration,politics
1eeayas,anthropic/claude-opus-4-6,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1efs65o,anthropic/claude-opus-4-6,B,B,B,D,correct,Comparison,Hobby
1eko6xo,anthropic/claude-opus-4-6,C,C,C,B,correct,Comparison,Pop culture
1elhse8,anthropic/claude-opus-4-6,B,B,B,D,correct,Exaggeration,Logical
1eq297i,anthropic/claude-opus-4-6,B,B,B,C,correct,Exaggeration,politics
1et8l0q,anthropic/claude-opus-4-6,C,C,C,B,correct,Incongruity,Logical
1ex1lej,anthropic/claude-opus-4-6,D,D,D,C,correct,Exaggeration,General knowledge
1f0qs2a,anthropic/claude-opus-4-6,B,B,B,D,correct,Incongruity,General knowledge
1f4tmhz,anthropic/claude-opus-4-6,D,D,D,C,correct,Sarcasm/Irony,Logical
1f16w9p,anthropic/claude-opus-4-6,C,C,C,D,correct,Situational,General knowledge
1fa202w,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,Hobby
1fbym0h,anthropic/claude-opus-4-6,D,D,D,B,correct,Comparison,Social conventions
1fdg0i5,anthropic/claude-opus-4-6,D,D,D,A,correct,Dark Humor,politics
1fg38dp,anthropic/claude-opus-4-6,B,B,B,A,correct,Exaggeration,Logical
1fm0tjo,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,Logical
1fs6ndo,anthropic/claude-opus-4-6,B,B,B,D,correct,Comparison,Hobby
1fo91u1,anthropic/claude-opus-4-6,D,D,D,B,correct,Situational,Logical
1fst6nb,anthropic/claude-opus-4-6,B,B,B,C,correct,Comparison,politics
1fu3pp1,anthropic/claude-opus-4-6,C,C,C,B,correct,Incongruity,Technical
1fuxrbx,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,Hobby
1fwbzz9,anthropic/claude-opus-4-6,A,A,A,C,correct,Situational,politics
1fxqzyt,anthropic/claude-opus-4-6,B,B,B,D,correct,Wordplay,Social conventions
1g02nzf,anthropic/claude-opus-4-6,D,D,D,B,correct,Situational,History/Mythology
1g7yhzc,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,Social conventions
1g4657e,anthropic/claude-opus-4-6,B,B,B,C,correct,Incongruity,History/Mythology
1gazv8u,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Dark Humor,politics
1gidb47,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Situational,Technical
1gop1dk,anthropic/claude-opus-4-6,D,D,D,B,correct,Exaggeration,Social conventions
1gqh1c5,anthropic/claude-opus-4-6,D,D,D,C,correct,Situational,Social conventions
1gs87cm,anthropic/claude-opus-4-6,C,C,C,D,correct,Situational,Pop culture
1guacve,anthropic/claude-opus-4-6,A,A,A,B,correct,Exaggeration,Social conventions
1gx0pu0,anthropic/claude-opus-4-6,D,D,D,A,correct,Comparison,Hobby
1gz2i0o,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,History/Mythology
1gzkbbi,anthropic/claude-opus-4-6,D,D,D,C,correct,Comparison,politics
1h5a44z,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,Pop culture
1h7di4x,anthropic/claude-opus-4-6,C,C,C,D,correct,Wordplay,Logical
1h8d39n,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,Hobby
1h52vkf,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,General knowledge
1hfggtz,anthropic/claude-opus-4-6,B,B,B,A,correct,Comparison,Technical
1hmbnol,anthropic/claude-opus-4-6,D,D,D,B,correct,Comparison,Technical
1hqtnop,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,politics
1huqauz,anthropic/claude-opus-4-6,B,B,B,A,correct,Incongruity,Hobby
1i5ve1j,anthropic/claude-opus-4-6,C,C,C,B,correct,Comparison,History/Mythology
1iad0kh,anthropic/claude-opus-4-6,B,B,B,D,correct,Exaggeration,Technical
1ibz4bh,anthropic/claude-opus-4-6,D,D,D,A,correct,Incongruity,Technical
1ig7lnf,anthropic/claude-opus-4-6,D,D,D,C,correct,Incongruity,meme
1inxmb2,anthropic/claude-opus-4-6,A,A,A,C,correct,Comparison,meme
1iri57s,anthropic/claude-opus-4-6,C,C,C,A,correct,Surprise,Social conventions
1iv0i8s,anthropic/claude-opus-4-6,B,B,B,D,correct,Situational,Logical
1h626bt,anthropic/claude-opus-4-6,C,C,C,A,correct,Wordplay,Hobby
1hcpvbz,anthropic/claude-opus-4-6,A,A,A,B,correct,Situational,Pop culture
1izj4eu,anthropic/claude-opus-4-6,D,D,D,A,correct,Incongruity,politics
1j983b2,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,Social conventions
1jaysny,anthropic/claude-opus-4-6,D,D,D,A,correct,Incongruity,Hobby
1jh5toe,anthropic/claude-opus-4-6,D,D,D,A,correct,Exaggeration,Social conventions
1jjiqlq,anthropic/claude-opus-4-6,A,A,A,C,correct,Sarcasm/Irony,Social conventions
1k25b9s,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,History/Mythology
1kgak2u,anthropic/claude-opus-4-6,C,C,C,D,correct,Comparison,Technical
1mbnnpw,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Surprise,General knowledge
17pg0fe,anthropic/claude-opus-4-6,D,D,D,B,correct,Exaggeration,Pop culture
1l8vajl,anthropic/claude-opus-4-6,C,C,C,B,correct,Comparison,Hobby
1c38j1b,anthropic/claude-opus-4-6,D,D,D,A,correct,Comparison,Logical
1bdho8z,anthropic/claude-opus-4-6,B,B,B,C,correct,Exaggeration,Social conventions
1naurrn,anthropic/claude-opus-4-6,D,D,D,B,correct,Comparison,Technical
1mfr9vy,anthropic/claude-opus-4-6,B,B,B,C,correct,Situational,Social conventions
1m241pn,anthropic/claude-opus-4-6,B,B,B,D,correct,Dark Humor,Social conventions
1m9u48i,anthropic/claude-opus-4-6,C,C,D,B,other_distractor,Incongruity,Hobby
1m7b5bx,anthropic/claude-opus-4-6,B,B,B,A,correct,Surprise,politics
1lttuji,anthropic/claude-opus-4-6,D,D,D,A,correct,Incongruity,Pop culture
1ljrgbw,anthropic/claude-opus-4-6,D,D,D,A,correct,Surprise,Social conventions
1k6ds0q,anthropic/claude-opus-4-6,D,D,C,B,other_distractor,Sarcasm/Irony,Social conventions
1bk0w4q,anthropic/claude-opus-4-6,A,A,C,A,literal,Surprise,politics
1heeibu,anthropic/claude-opus-4-6,A,A,A,D,correct,Incongruity,meme
1fvpb5q,anthropic/claude-opus-4-6,D,D,D,B,correct,Dark Humor,politics
184f4hh,anthropic/claude-opus-4-6,C,C,C,B,correct,Comparison,Hobby
1mzfdhh,anthropic/claude-opus-4-6,C,C,C,A,correct,Situational,Hobby
1l1hxof,anthropic/claude-opus-4-6,D,D,D,C,correct,Incongruity,Social conventions
1kjg3vh,anthropic/claude-opus-4-6,B,B,B,C,correct,Dark Humor,Logical
1k4lzxj,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,politics
1j0w1z3,anthropic/claude-opus-4-6,A,A,B,A,literal,Comparison,meme
1irxw6j,anthropic/claude-opus-4-6,D,D,D,B,correct,Dark Humor,History/Mythology
1ird7yb,anthropic/claude-opus-4-6,B,B,C,A,other_distractor,Exaggeration,Hobby
169oqq5,anthropic/claude-opus-4-6,D,D,D,B,correct,Wordplay,General knowledge
1co29mb,anthropic/claude-opus-4-6,D,D,D,C,correct,Wordplay,Pop culture
19eokbq,anthropic/claude-opus-4-6,C,C,C,A,correct,Situational,General knowledge
1c3z5ld,anthropic/claude-opus-4-6,C,C,C,D,correct,Situational,Hobby
1dxonad,anthropic/claude-opus-4-6,B,B,B,C,correct,Wordplay,General knowledge
1cbcpxn,anthropic/claude-opus-4-6,D,D,D,C,correct,Situational,Hobby
194s3gh,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,meme
1ipozgr,anthropic/claude-opus-4-6,D,D,D,B,correct,Situational,General knowledge
1n7s8ht,anthropic/claude-opus-4-6,D,D,D,A,correct,Exaggeration,History/Mythology
1bvyaep,anthropic/claude-opus-4-6,A,A,A,C,correct,Surprise,History/Mythology
1587f2g,anthropic/claude-opus-4-6,A,A,A,D,correct,Exaggeration,Technical
177cl97,anthropic/claude-opus-4-6,D,D,D,A,correct,Situational,Technical
1jhyaz4,anthropic/claude-opus-4-6,C,C,C,B,correct,Exaggeration,General knowledge
1fssuxj,anthropic/claude-opus-4-6,C,C,A,C,literal,Wordplay,Logical
1fwc8sk,anthropic/claude-opus-4-6,B,B,B,A,correct,Situational,Pop culture
195f4ld,anthropic/claude-opus-4-6,D,D,A,C,other_distractor,Surprise,meme
1key5qt,anthropic/claude-opus-4-6,B,B,B,C,correct,Incongruity,Pop culture
1jzigfy,anthropic/claude-opus-4-6,D,D,D,C,correct,Sarcasm/Irony,General knowledge
192wp5d,anthropic/claude-opus-4-6,A,A,C,D,other_distractor,Incongruity,Social conventions
1hql3cv,anthropic/claude-opus-4-6,D,D,D,A,correct,Wordplay,General knowledge
1mluk7a,anthropic/claude-opus-4-6,A,A,A,B,correct,Dark Humor,History/Mythology
1mpg380,anthropic/claude-opus-4-6,B,B,B,A,correct,Situational,Hobby
1eexgq9,anthropic/claude-opus-4-6,C,C,C,D,correct,Dark Humor,History/Mythology
1cs870m,anthropic/claude-opus-4-6,B,B,B,A,correct,Wordplay,General knowledge
1g1cv45,anthropic/claude-opus-4-6,A,A,B,UNKNOWN,wrong_literal_unknown,Comparison,meme
1g2ofgo,anthropic/claude-opus-4-6,A,A,A,D,correct,Situational,History/Mythology
1jzu8un,anthropic/claude-opus-4-6,C,C,C,B,correct,Surprise,Technical
1gvvhs3,anthropic/claude-opus-4-6,B,B,A,B,literal,Wordplay,Social conventions
1l22d3q,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,Pop culture
1j289je,anthropic/claude-opus-4-6,D,D,D,C,correct,Incongruity,General knowledge
1ga3uxo,anthropic/claude-opus-4-6,A,A,A,D,correct,Surprise,Technical
1l99mtp,anthropic/claude-opus-4-6,D,D,A,D,literal,Situational,Technical
1hjwowy,anthropic/claude-opus-4-6,C,C,D,C,literal,Exaggeration,Social conventions
1ii3g3t,anthropic/claude-opus-4-6,D,D,D,A,correct,Dark Humor,History/Mythology
1h7ih54,anthropic/claude-opus-4-6,B,B,B,A,correct,Comparison,Pop culture
1eglfe7,anthropic/claude-opus-4-6,C,C,A,B,other_distractor,Surprise,Technical
1jdq5gi,anthropic/claude-opus-4-6,C,C,C,UNKNOWN,correct,Wordplay,Social conventions
1jykoxc,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Wordplay,General knowledge
1il72ww,anthropic/claude-opus-4-6,B,B,B,C,correct,Sarcasm/Irony,Social conventions
1g3admg,anthropic/claude-opus-4-6,C,C,B,A,other_distractor,Situational,meme
1kpj6mq,anthropic/claude-opus-4-6,A,A,A,B,correct,Comparison,Pop culture
1gp140e,anthropic/claude-opus-4-6,B,B,D,A,other_distractor,Surprise,meme
1it3ezt,anthropic/claude-opus-4-6,A,A,A,D,correct,Wordplay,Technical
1ceuuuh,anthropic/claude-opus-4-6,C,C,A,C,literal,Sarcasm/Irony,politics
1bk5jkq,anthropic/claude-opus-4-6,C,C,C,D,correct,Surprise,Technical
1az5r39,anthropic/claude-opus-4-6,C,C,D,C,literal,Comparison,politics
1hauo6q,anthropic/claude-opus-4-6,A,A,A,B,correct,Dark Humor,politics
1jtym4e,anthropic/claude-opus-4-6,A,A,A,D,correct,Dark Humor,politics
1l4x3e6,anthropic/claude-opus-4-6,B,B,B,C,correct,Surprise,politics
1mahcad,anthropic/claude-opus-4-6,B,B,B,C,correct,Wordplay,General knowledge
1j0n4gg,anthropic/claude-opus-4-6,D,D,D,C,correct,Surprise,politics
1hbogj4,anthropic/claude-opus-4-6,D,D,D,A,correct,Dark Humor,politics
1flb4nk,anthropic/claude-opus-4-6,D,D,D,A,correct,Surprise,History/Mythology
1dhf9h2,anthropic/claude-opus-4-6,A,A,A,B,correct,Surprise,politics
1c01lei,anthropic/claude-opus-4-6,D,D,B,A,other_distractor,Dark Humor,politics
1d7u657,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Sarcasm/Irony,politics
1dv83hh,anthropic/claude-opus-4-6,C,C,C,A,correct,Dark Humor,politics
1cdufsh,anthropic/claude-opus-4-6,C,C,C,A,correct,Sarcasm/Irony,politics
13ibrc1,anthropic/claude-opus-4-6,A,A,A,C,correct,Comparison,Logical
1m56k4v,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Surprise,Technical
1mbrsfx,anthropic/claude-opus-4-6,B,B,C,B,literal,Surprise,meme
1lnme9d,anthropic/claude-opus-4-6,A,A,D,C,other_distractor,Surprise,History/Mythology
1lhnwl4,anthropic/claude-opus-4-6,C,C,A,B,other_distractor,Incongruity,politics
1lcutci,anthropic/claude-opus-4-6,A,A,A,B,correct,Comparison,politics
1lmltqs,anthropic/claude-opus-4-6,D,D,A,C,other_distractor,Surprise,meme
1lgqywl,anthropic/claude-opus-4-6,A,A,A,C,correct,Dark Humor,History/Mythology
1l8fck5,anthropic/claude-opus-4-6,C,C,C,A,correct,Surprise,Logical
1if88s3,anthropic/claude-opus-4-6,C,C,C,D,correct,Wordplay,Technical
1jpn69p,anthropic/claude-opus-4-6,D,D,D,A,correct,Comparison,Technical
1fs7uqa,anthropic/claude-opus-4-6,C,C,C,D,correct,Surprise,politics
1k6qo63,anthropic/claude-opus-4-6,C,C,C,B,correct,Comparison,Technical
1ku0frm,anthropic/claude-opus-4-6,D,D,D,B,correct,Wordplay,Logical
1mj26iu,anthropic/claude-opus-4-6,D,D,D,C,correct,Wordplay,Logical
1agsl73,anthropic/claude-opus-4-6,D,D,D,A,correct,Wordplay,History/Mythology
1cqzlzh,anthropic/claude-opus-4-6,C,C,C,A,correct,Sarcasm/Irony,History/Mythology
1m55hez,anthropic/claude-opus-4-6,B,B,A,C,other_distractor,Dark Humor,Logical
1arjiwr,anthropic/claude-opus-4-6,C,C,C,D,correct,Comparison,politics
1jny20o,anthropic/claude-opus-4-6,D,D,D,B,correct,Sarcasm/Irony,Logical
1josjz1,anthropic/claude-opus-4-6,C,C,C,D,correct,Wordplay,politics
1m83zvy,anthropic/claude-opus-4-6,B,B,B,D,correct,Comparison,Hobby
1m3s0a4,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,History/Mythology
15vbd1p,anthropic/claude-opus-4-6,D,D,D,C,correct,Dark Humor,Logical
1mhtv4z,anthropic/claude-opus-4-6,C,C,C,B,correct,Dark Humor,Hobby
1mkomql,anthropic/claude-opus-4-6,B,B,B,A,correct,Sarcasm/Irony,meme
1narr2o,anthropic/claude-opus-4-6,D,D,B,C,other_distractor,Sarcasm/Irony,Logical
1n0my5r,anthropic/claude-opus-4-6,A,A,A,C,correct,Surprise,Hobby
1k5a33w,anthropic/claude-opus-4-6,B,B,B,A,correct,Sarcasm/Irony,meme
1k5wejp,anthropic/claude-opus-4-6,B,B,B,C,correct,Surprise,Hobby
1k4ukvi,anthropic/claude-opus-4-6,D,D,D,B,correct,Sarcasm/Irony,General knowledge
1kehvhj,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,History/Mythology
1keqvzx,anthropic/claude-opus-4-6,D,D,D,B,correct,Dark Humor,Logical
1kpfg74,anthropic/claude-opus-4-6,C,C,C,D,correct,Sarcasm/Irony,History/Mythology
1kidi8e,anthropic/claude-opus-4-6,B,B,B,A,correct,Sarcasm/Irony,Technical
1kjlggg,anthropic/claude-opus-4-6,B,B,B,C,correct,Dark Humor,politics
1kqcllz,anthropic/claude-opus-4-6,B,B,B,D,correct,Sarcasm/Irony,Logical
1jwjneb,anthropic/claude-opus-4-6,C,C,C,D,correct,Comparison,Hobby
1kpua4s,anthropic/claude-opus-4-6,C,C,C,D,correct,Surprise,Hobby
1l7z6gs,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,Social conventions
1asecwa,anthropic/claude-opus-4-6,C,C,C,D,correct,Dark Humor,Technical
1i38yhn,anthropic/claude-opus-4-6,B,B,B,A,correct,Situational,Hobby
1bpefe3,anthropic/claude-opus-4-6,C,C,C,D,correct,Wordplay,Logical
1esw67r,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,Logical
1fkmtz4,anthropic/claude-opus-4-6,B,B,B,A,correct,Dark Humor,Technical
1c43fea,anthropic/claude-opus-4-6,B,B,B,A,correct,Dark Humor,Hobby
1czson4,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,Technical
1dcyo13,anthropic/claude-opus-4-6,C,C,D,C,literal,Dark Humor,politics
1fvuj7k,anthropic/claude-opus-4-6,A,A,A,C,correct,Exaggeration,Hobby
1gtbssx,anthropic/claude-opus-4-6,C,C,C,B,correct,Dark Humor,Hobby
1htm33y,anthropic/claude-opus-4-6,C,C,C,B,correct,Wordplay,Logical
1hw0vwf,anthropic/claude-opus-4-6,C,C,A,C,literal,Wordplay,Logical
1kw5fto,anthropic/claude-opus-4-6,B,B,B,D,correct,Surprise,politics
1k9xaf4,anthropic/claude-opus-4-6,D,D,A,D,literal,Sarcasm/Irony,politics
1jmn6xg,anthropic/claude-opus-4-6,A,A,A,C,correct,Sarcasm/Irony,politics
1j5j7q8,anthropic/claude-opus-4-6,B,B,B,D,correct,Sarcasm/Irony,politics
1itzxo7,anthropic/claude-opus-4-6,D,D,D,A,correct,Sarcasm/Irony,History/Mythology
1ibyirm,anthropic/claude-opus-4-6,D,D,D,A,correct,Sarcasm/Irony,politics
1ijlh5e,anthropic/claude-opus-4-6,D,D,D,B,correct,Situational,politics
1ih9bat,anthropic/claude-opus-4-6,D,D,D,A,correct,Sarcasm/Irony,Logical
1j1lc01,anthropic/claude-opus-4-6,C,C,C,B,correct,Surprise,Hobby
1j9svdf,anthropic/claude-opus-4-6,C,C,C,D,correct,Dark Humor,History/Mythology
1jwvcno,anthropic/claude-opus-4-6,C,C,C,B,correct,Dark Humor,History/Mythology
1kxar4d,anthropic/claude-opus-4-6,B,B,B,C,correct,Dark Humor,politics
1m0b8uv,anthropic/claude-opus-4-6,A,A,C,D,other_distractor,Incongruity,politics
19994ey,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,politics
18dba0l,anthropic/claude-opus-4-6,D,D,D,C,correct,Wordplay,Hobby
1lppcyj,anthropic/claude-opus-4-6,B,B,B,A,correct,Situational,General knowledge
1h066h6,anthropic/claude-opus-4-6,D,D,D,C,correct,Situational,Technical
1kjzy1y,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,General knowledge
1c341d5,anthropic/claude-opus-4-6,B,B,C,A,other_distractor,Exaggeration,General knowledge
17930bw,anthropic/claude-opus-4-6,A,A,A,B,correct,Wordplay,General knowledge
1lfe3gp,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,politics
19dbf08,anthropic/claude-opus-4-6,A,A,A,D,correct,Sarcasm/Irony,History/Mythology
1ly2yui,anthropic/claude-opus-4-6,D,D,C,B,other_distractor,Incongruity,Technical
1bnyn39,anthropic/claude-opus-4-6,A,A,A,C,correct,Sarcasm/Irony,Pop culture
1jczpuc,anthropic/claude-opus-4-6,B,B,D,C,other_distractor,Sarcasm/Irony,Hobby
1hy2gti,anthropic/claude-opus-4-6,A,A,A,B,correct,Situational,Hobby
1h53lb4,anthropic/claude-opus-4-6,D,D,D,A,correct,Dark Humor,meme
1joifiq,anthropic/claude-opus-4-6,D,D,D,B,correct,Surprise,Technical
1iad95m,anthropic/claude-opus-4-6,A,A,D,A,literal,Exaggeration,Pop culture
1aekqdo,anthropic/claude-opus-4-6,B,B,B,A,correct,Sarcasm/Irony,History/Mythology
1n2ae1w,anthropic/claude-opus-4-6,D,D,D,C,correct,Exaggeration,politics
198awkk,anthropic/claude-opus-4-6,A,A,A,B,correct,Wordplay,General knowledge
1l5rutv,anthropic/claude-opus-4-6,A,A,A,C,correct,Surprise,Social conventions
1b2nrx4,anthropic/claude-opus-4-6,C,C,C,A,correct,Exaggeration,Social conventions
1kfy8l5,anthropic/claude-opus-4-6,C,C,D,A,other_distractor,Incongruity,politics
1kvenyk,anthropic/claude-opus-4-6,A,A,A,C,correct,Sarcasm/Irony,History/Mythology
1j6onpg,anthropic/claude-opus-4-6,C,C,B,A,other_distractor,Incongruity,Social conventions
1j3kbpk,anthropic/claude-opus-4-6,B,B,B,A,correct,Dark Humor,General knowledge
180j85r,anthropic/claude-opus-4-6,C,C,C,D,correct,Dark Humor,Technical
1c8be16,anthropic/claude-opus-4-6,B,B,B,D,correct,Surprise,History/Mythology
14ys2z4,anthropic/claude-opus-4-6,D,D,D,B,correct,Situational,politics
1kbjn4z,anthropic/claude-opus-4-6,B,B,B,D,correct,Dark Humor,Pop culture
1jjo04h,anthropic/claude-opus-4-6,B,B,C,D,other_distractor,Incongruity,meme
1lofpc4,anthropic/claude-opus-4-6,D,D,D,B,correct,Incongruity,meme
1cj9j9z,anthropic/claude-opus-4-6,C,C,C,B,correct,Sarcasm/Irony,History/Mythology
1lejj62,anthropic/claude-opus-4-6,B,B,C,D,other_distractor,Exaggeration,Pop culture
1cb769r,anthropic/claude-opus-4-6,B,B,B,C,correct,Sarcasm/Irony,Hobby
15aafk0,anthropic/claude-opus-4-6,D,D,A,C,other_distractor,Sarcasm/Irony,Pop culture
17aswoo,anthropic/claude-opus-4-6,A,A,A,D,correct,Incongruity,meme
1lh0gn3,anthropic/claude-opus-4-6,B,B,A,D,other_distractor,Sarcasm/Irony,meme
1h779tg,anthropic/claude-opus-4-6,A,A,A,C,correct,Comparison,Pop culture
1ftatdh,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Exaggeration,History/Mythology
1hwftqw,anthropic/claude-opus-4-6,B,B,B,A,correct,Dark Humor,meme
186tj6c,anthropic/claude-opus-4-6,B,B,A,C,other_distractor,Wordplay,Technical
1hqjjs0,anthropic/claude-opus-4-6,C,C,A,B,other_distractor,Surprise,Pop culture
1mwbbsw,anthropic/claude-opus-4-6,B,B,A,C,other_distractor,Wordplay,Logical
